Id,SalePrice
1461,128129.58
1462,152250.0
1463,155469.0
1464,178890.8
1465,198725.0
1466,190625.5
1467,172158.44
1468,176425.12
1469,179821.06
1470,117222.17
1471,198214.99
1472,99542.0
1473,95756.83
1474,145474.0
1475,140643.50714285715
1476,389403.93
1477,263870.63
1478,316185.92
1479,299332.06
1480,454617.31
1481,291796.98
1482,221888.68
1483,184809.28
1484,170756.15
1485,185969.85
1486,213555.26
1487,310368.84
1488,259817.91
1489,202106.2
1490,193897.26
1491,192586.7
1492,109018.25
1493,191988.25
1494,296642.12
1495,268976.56
1496,209002.34
1497,168732.67
1498,153083.55
1499,153216.97333333333
1500,165576.18
1501,173225.38
1502,152525.7257142857
1503,298971.03
1504,211669.05
1505,204697.78
1506,187132.95
1507,219056.5
1508,174153.05
1509,158264.0
1510,141966.74
1511,147786.37
1512,147770.83
1513,158898.0
1514,136946.15
1515,146354.75
1516,161891.55
1517,149316.5
1518,132248.0
1519,206981.7
1520,139376.5
1521,145860.0
1522,159014.0
1523,109703.42
1524,128271.01
1525,121763.93
1526,130799.18
1527,98889.59
1528,118082.66
1529,140799.87
1530,151140.5
1531,116124.98
1532,106805.1
1533,131070.53
1534,122155.66
1535,138940.0
1536,109558.1
1537,70388.0
1538,186105.0
1539,281857.19
1540,132857.29
1541,141648.34
1542,128983.27
1543,179534.3
1544,83718.76
1545,107288.0
1546,125191.16333333334
1547,133103.0
1548,127011.68
1549,92868.5
1550,134029.84
1551,107479.58
1552,119751.35
1553,163074.45
1554,122458.18
1555,153714.1
1556,116430.5
1557,129401.25
1558,108117.83
1559,117730.8
1560,131863.04
1561,131074.37
1562,111596.79
1563,115554.99
1564,149585.68
1565,144840.4
1566,228019.58
1567,90740.0
1568,202321.7
1569,132069.96
1570,136609.5
1571,120794.17
1572,131663.25
1573,244357.15
1574,151360.1
1575,192166.0
1576,199692.0
1577,202376.65
1578,158172.7
1579,135604.53
1580,191834.0
1581,140486.5
1582,122242.0
1583,317750.07
1584,238836.0
1585,141353.33333333334
1586,70087.99
1587,125524.87
1588,149157.11
1589,98832.02
1590,132244.0
1591,118351.49
1592,119584.96
1593,117636.0
1594,124601.64
1595,145376.97
1596,194565.64
1597,164180.7
1598,202141.25
1599,181549.0
1600,188706.0
1601,61409.54
1602,101053.0
1603,102291.98
1604,260231.65
1605,242083.6
1606,165046.82
1607,203121.72
1608,201063.87
1609,200756.36
1610,155341.43
1611,164186.5
1612,169120.79333333336
1613,175335.42
1614,125687.0
1615,81560.0
1616,83560.0
1617,83325.0
1618,120541.83
1619,131059.0
1620,183571.47000000003
1621,131412.9
1622,145530.0
1623,253247.5
1624,185516.82
1625,142374.5
1626,177784.0
1627,178508.7
1628,268003.28
1629,185113.5
1630,294681.35
1631,236004.9
1632,274703.24
1633,173366.15
1634,180551.0
1635,179185.0
1636,176189.22
1637,149477.8
1638,220321.8
1639,189338.0
1640,271823.12
1641,188291.0
1642,215202.57
1643,223211.46
1644,219005.16
1645,163037.555
1646,157747.0
1647,168745.0
1648,141551.84
1649,135269.86
1650,119006.5
1651,117591.08
1652,109084.0
1653,109464.0
1654,149267.0
1655,150757.6
1656,147850.5
1657,149337.0
1658,148076.5
1659,139732.26714285713
1660,148482.5
1661,436708.57
1662,339592.59
1663,371912.04
1664,437820.55
1665,339955.33
1666,284977.15
1667,339848.04
1668,345261.77
1669,293800.56
1670,341083.18
1671,252148.18
1672,470824.88
1673,323480.72
1674,260093.0
1675,183064.79
1676,184620.72
1677,208313.9
1678,428268.86
1679,324378.23
1680,336707.69
1681,292483.23
1682,283812.0
1683,178104.38
1684,177415.21
1685,174593.22
1686,165849.48
1687,175175.8
1688,190649.0
1689,188413.85
1690,177360.75
1691,175183.0
1692,255910.88
1693,174797.15
1694,179571.9
1695,175670.5
1696,275249.78
1697,175650.5
1698,336749.75
1699,314979.01
1700,222574.58
1701,289052.63
1702,279012.57
1703,289698.84
1704,283023.25
1705,271681.28
1706,416323.72
1707,216563.92
1708,224854.22
1709,307768.46
1710,244362.02
1711,231677.2
1712,287003.19
1713,236348.93
1714,210790.44
1715,196349.0
1716,188749.2
1717,181632.2
1718,146941.0
1719,221045.13
1720,255031.55
1721,194872.1
1722,151244.0
1723,159713.92
